,Tweet,len,metrics,source
0,@vorejjun yeonjun playing the next spiderman movie i wanna see it,65,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1,Come get your new threads at any of the medicine cabinet and into the void and all the time i see midsommar or spiderman tomorrow.,130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ebookswaggy
2,@TOABTech @ApexAlphaJ This original conversation was about PS5 recent firmware update reduce Spiderman MM visuals in performance mode. Unless you have a spare PS5 that still running Version 1.0 firmware. Their is just no solid proof of downgrade. I need photo of one to one comparison.,285,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
3,"@IGN Sony exclusives are all B-Tier TV movies with a tacked on Third Person Adventure. Cutscenes and Quicktime Events take precedent over actual gameplay

TLOU, Uncharted, Spiderman, Death Stranding, Days Gone, etc",214,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
4,"Spiderman remastered on ps5 is just gorgeous 🤩.
@insomniacgames
#VGPWednesday #GamersUnite #SpiderManMilesMorales #VirtualPhotography #PhotoMode #VGPUnite #Gametography #VGPNetwork #ThePhotoMode #PlayStation #PSBlog #VPDiversity
#PS4 #PS5 https://t.co/YHPah2TrZl",262,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",Twitter for Android
5,"@TheDispatcherHQ Haha the cop at the beginning thinks he's Spiderman!
Dick.",75,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
6,"New episode! This time on Miles Morales.

#gaming
#ps4
#marvel
#spiderman

Marvel’s Spider-Man: Miles Morales. Gameplay Part 2 https://t.co/TwyCPPPsD9 via @YouTube",163,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
7,"First is the deadly game of crowding our small (6 feet x 4 feet) elevator a full 5 months after Physical Distancing rules were given. After this deadly game of trying to infect me with Covid-19 are a few photos, taken a couple weeks ago, of our own
... https://t.co/N7b3yo7iPa https://t.co/s9XJvZ5fKp",300,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
8,the easter eggs in spiderman: into the spider•verse are endless @marvelstudios @netflix  😂,90,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
9,Parker! Get me pictures of a homesick Spiderman!,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
10,SPIDERMAN MILES MORALES Walkthrough Part 4 - Tinkerer (PS5) https://t.co/h9792KttmP #gaming#ps4#playstation,107,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",IFTTT
11,you get to have the cat with you as a suit in miles morales???? 😭😭😭😭 mY HEART. I also love that the cats name is also spiderman,127,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
12,"@teloresumo It gana remake
Pet cementery gana remake
Spiderman, anda a sabe",75,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 11, 'quote_count': 0}",Twitter for Android
13,"Miles game boring. Im just not motivated enough to play trought it. I waited 2 years for a Spiderman sequel. And yet... Still waiting...

I Will do a review if i get it finished.",178,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
