,Tweet,len,metrics,source
0,"PS1: (2004-2008)

Atlantis: The Lost Empire
Harvest Moon BTN
Spiderman 1-2
Raiden DX
Crash Bandicoot (All)
Scooby Doo Cyber Chase
GTA 2
Hot Wheels Turbo Racing",159,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1,"Last 5 games I played:
1: Hyrule Warriors: Age of Calamity
2: Sonic Rush
3: Spiderman PS4
4: Pikmin 3 Deluxe
5: Super Mario World https://t.co/uX3EVEakUT",153,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
2,He’s our Spiderman 🖤,20,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
3,what hte hell are these spiderman glitches where its replacing the character with diffferent assets from the game lmao,118,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",TweetDeck
4,I completed the game Marvel's Spider-Man: Miles Morales #TrueTrophies https://t.co/8CJ85sd4WP,93,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",TrueTrophies
5,"@JuanyeTuda @Brev2034 @JannsenTimothy @Optimus_Code Godfall PC, Pathless PS4, Miles PS4, Spiderman PS4, Bugsnax PS4....

I think you're missing his point ""apart from Demon Souls""",178,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 11, 'quote_count': 0}",Twitter Web App
6,Cant watch spiderman lol https://t.co/eXyGH7uPZJ,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
7,Parker! Get me pictures of Spiderman looking suspicious in an aircraft cabin!,77,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
8,"@JurrassicStark oh im from queens haha, im assuming to see spiderman?",69,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
9,$25 for a free platinum... shit I should’ve just paid the $80 or whatever it was at launch lmao. #SpiderMan https://t.co/8rqTseprnH,131,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
10,"I miss Alka. Watched There's Something About Mary, the first Spiderman movie, and dozens more. Also saw some rats scurrying between the seats!
Stall ticket used to be 25 rupees plus 10 rupees for 3 samosas. 😁
Same goes for Vijay, the other English movie theatre.
Salad days. 💜 https://t.co/QJuGylWRh0",300,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
11,"Finally platinumed #SpidermanMilesMorales Fantastic game, well worth grabbing! #Spiderman #PS5 #Platinum https://t.co/ewVo74ghQm",128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",PlayStation®Network
12,cap! Tobey's Spiderman movies were really good with the exception of the third one https://t.co/e4xHHwOLqL,106,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
13,"#psnrestock
#playstation
#nextgen 
#ps5resell
#quicksale
#targetps5
#gaming
#ps5forsale
#ps5preorder
#ps5launch
#gamer
#gaming
#playstationdirect
#playstation5
#spiderman 

Contact me now (667) 284-9648

First come first serve!!! https://t.co/WfaXrICocF",253,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
14,"@AskPlayStation Will the PS5 ""digitally upgraded version"" of the new spiderman game Miles Morales (From PS4 disk version) have all the same features as the PS5 Disk version of that game?",186,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
15,@RolandJaguar21 Spiderman,25,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
16,Marvel's Spider-Man : Miles morales  PART 2 #PS5 #SPIDERMAN #MILESMORALES https://t.co/tbbSoVtfhV,97,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Streamlabs Twitter
17,"Just realized that I had been using spiderman emoji instead of angry 😂
How's your life going? 😂",95,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",Twitter for Android
18,Platinum #191. Spiderman Miles Morales. Fantastic game. Super satisfying to play https://t.co/sdOscl8kzs,104,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 97, 'quote_count': 0}",PlayStation®Network
19,honest? i got a pc but i need spiderman srry 🤷🏾‍♂️ https://t.co/r5BcMZPv2c,74,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
20,"Yup. Just to play Spiderman at a higher frame rate.

What a joke.

https://t.co/gYNM3hZrNk",90,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
21,"I’m.........having a lot of fun with Spiderman 2 on GameCube. The charm is just too much and the world is so colorful and videogamey af. Swinging holds up, combat is janky but does the job. 

But Bruce Campbell insulting me every 30 seconds is what makes it a 10/10 GOTY",270,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 16, 'quote_count': 0}",Twitter for iPhone
22,I started the game Marvel's Spider-Man: Miles Morales (PS4) #TrueTrophies https://t.co/VkbC64eZk3,97,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TrueTrophies
23,Just went live! https://t.co/eIJF1Ck81m #Twitch #twitchAffiliate #smallstreamer #smallstreamerconnect #Livenow #comechat #fortnite #theforest #spiderman #apex #godofwar #mmo #campaign #letsgrowtogether #hashtag #retweetme #esports,230,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",StreamElements
24,I started the game Marvel's Spider-Man: Miles Morales #TrueTrophies https://t.co/Lf5qFAfWV6,91,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TrueTrophies
25,I find this offensive. I spent years trying to ruin spiderman and Dan Slott gets all the credit! https://t.co/zhtDoPvqEr,120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
26,@DeyaMela Is that a spiderman reference?? https://t.co/jn8iV69yPj,65,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
